Algorithm;Iteration;TimeMs;Manhattan;Fitness;BestPathLength
ACO;99;890.01;63;-67.0000;67
ACO;105;944.70;63;-67.0000;67
ACO;107;999.52;63;-67.0000;67
ACO;1;10.07;77;-114.0000;114
ACO;2;19.66;77;-97.0000;97
ACO;5;46.81;77;-85.0000;85
ACO;8;75.45;77;-84.0000;84
ACO;10;94.31;77;-82.0000;82
ACO;12;119.53;77;-80.0000;80
ACO;18;171.77;77;-80.0000;80
ACO;24;222.47;77;-80.0000;80
ACO;30;274.52;77;-80.0000;80
ACO;36;327.80;77;-80.0000;80
ACO;42;379.46;77;-80.0000;80
ACO;48;430.02;77;-80.0000;80
ACO;54;481.09;77;-80.0000;80
ACO;60;532.52;77;-80.0000;80
ACO;66;586.61;77;-80.0000;80
ACO;72;637.82;77;-80.0000;80
ACO;75;705.20;77;-80.0000;80
ACO;82;762.28;77;-80.0000;80
ACO;88;812.59;77;-80.0000;80
ACO;94;863.40;77;-80.0000;80
ACO;100;913.99;77;-80.0000;80
ACO;106;965.23;77;-80.0000;80
ACO;1;6.16;15;-18.0000;18
ACO;22;57.01;15;-18.0000;18
ACO;47;108.65;15;-18.0000;18
ACO;68;160.96;15;-18.0000;18
ACO;93;213.26;15;-18.0000;18
ACO;118;264.31;15;-18.0000;18
ACO;138;348.64;15;-18.0000;18
ACO;161;399.40;15;-18.0000;18
ACO;187;450.51;15;-18.0000;18
ACO;208;501.03;15;-18.0000;18
ACO;232;552.36;15;-18.0000;18
ACO;254;602.97;15;-18.0000;18
ACO;276;653.39;15;-18.0000;18
ACO;300;705.32;15;-18.0000;18
ACO;324;756.02;15;-18.0000;18
ACO;348;806.28;15;-18.0000;18
ACO;373;857.69;15;-18.0000;18
ACO;397;909.94;15;-18.0000;18
ACO;412;981.06;15;-18.0000;18
ACO;2;17.44;53;-81.0000;81
ACO;3;26.09;53;-63.0000;63
ACO;8;67.22;53;-57.0000;57
ACO;9;75.72;53;-56.0000;56
ACO;16;130.10;53;-56.0000;56
ACO;23;183.48;53;-56.0000;56
ACO;30;237.50;53;-56.0000;56
ACO;37;292.84;53;-56.0000;56
ACO;44;348.55;53;-56.0000;56
ACO;51;404.33;53;-56.0000;56
ACO;58;458.20;53;-56.0000;56
ACO;65;512.43;53;-56.0000;56
ACO;72;567.89;53;-56.0000;56
ACO;76;643.21;53;-56.0000;56
ACO;83;696.74;53;-56.0000;56
ACO;90;753.84;53;-56.0000;56
ACO;96;804.01;53;-56.0000;56
ACO;103;859.83;53;-56.0000;56
ACO;110;913.66;53;-56.0000;56
ACO;117;968.50;53;-56.0000;56
ACO;1;10.09;44;-56.0000;56
ACO;2;20.48;44;-52.0000;52
ACO;8;77.82;44;-52.0000;52
ACO;9;87.54;44;-48.0000;48
ACO;15;141.49;44;-48.0000;48
ACO;21;194.61;44;-48.0000;48
ACO;27;247.42;44;-48.0000;48
ACO;32;332.31;44;-48.0000;48
ACO;38;385.40;44;-48.0000;48
ACO;44;437.67;44;-48.0000;48
ACO;50;488.23;44;-48.0000;48
ACO;57;545.48;44;-48.0000;48
ACO;62;595.50;44;-48.0000;48
ACO;68;648.41;44;-48.0000;48
ACO;74;699.06;44;-48.0000;48
ACO;80;749.26;44;-48.0000;48
ACO;86;801.72;44;-48.0000;48
ACO;92;851.78;44;-48.0000;48
ACO;98;902.26;44;-48.0000;48
ACO;104;953.41;44;-48.0000;48
ACO;110;1047.92;44;-48.0000;48
ACO;6;57.84;111;-151.0000;151
ACO;11;105.35;111;-147.0000;147
ACO;13;129.97;111;-144.0000;144
ACO;19;186.83;111;-144.0000;144
ACO;25;243.48;111;-144.0000;144
ACO;26;253.32;111;-124.0000;124
ACO;27;263.32;111;-117.0000;117
ACO;33;321.11;111;-117.0000;117
ACO;39;380.52;111;-117.0000;117
ACO;44;430.61;111;-117.0000;117
ACO;49;482.74;111;-117.0000;117
ACO;54;541.31;111;-117.0000;117
ACO;59;600.49;111;-117.0000;117
ACO;64;650.70;111;-117.0000;117
ACO;69;700.72;111;-117.0000;117
ACO;73;759.16;111;-117.0000;117
ACO;76;811.71;111;-117.0000;117
ACO;82;869.17;111;-117.0000;117
ACO;87;919.47;111;-117.0000;117
ACO;93;979.25;111;-117.0000;117
ACO;1;9.48;9;-23.0000;23
ACO;2;18.38;9;-16.0000;16
ACO;3;27.60;9;-14.0000;14
ACO;10;82.60;9;-14.0000;14
ACO;17;137.95;9;-14.0000;14
ACO;24;192.52;9;-14.0000;14
ACO;31;245.90;9;-14.0000;14
ACO;37;296.66;9;-14.0000;14
ACO;44;349.41;9;-14.0000;14
ACO;51;402.59;9;-14.0000;14
ACO;56;490.94;9;-14.0000;14
ACO;63;545.84;9;-14.0000;14
ACO;70;598.31;9;-14.0000;14
ACO;77;651.98;9;-14.0000;14
ACO;84;706.65;9;-14.0000;14
ACO;91;762.08;9;-14.0000;14
ACO;97;816.15;9;-14.0000;14
ACO;104;870.76;9;-14.0000;14
ACO;111;926.17;9;-14.0000;14
ACO;118;980.77;9;-14.0000;14
ACO;1;9.48;46;-56.0000;56
ACO;3;25.31;46;-54.0000;54
ACO;5;39.77;46;-53.0000;53
ACO;6;46.68;46;-52.0000;52
ACO;11;76.68;46;-51.0000;51
ACO;21;129.52;46;-51.0000;51
ACO;24;186.78;46;-51.0000;51
ACO;34;238.26;46;-51.0000;51
ACO;44;294.92;46;-51.0000;51
ACO;53;347.84;46;-51.0000;51
ACO;63;401.17;46;-51.0000;51
ACO;73;451.59;46;-51.0000;51
ACO;83;508.15;46;-51.0000;51
ACO;92;560.26;46;-51.0000;51
ACO;102;615.36;46;-51.0000;51
ACO;112;666.78;46;-51.0000;51
ACO;122;719.83;46;-51.0000;51
ACO;132;773.39;46;-51.0000;51
ACO;142;825.80;46;-51.0000;51
ACO;150;910.45;46;-51.0000;51
ACO;160;961.49;46;-51.0000;51
ACO;2;18.11;64;-82.0000;82
ACO;7;61.78;64;-77.0000;77
ACO;9;79.71;64;-73.0000;73
ACO;15;132.46;64;-73.0000;73
ACO;21;186.69;64;-73.0000;73
ACO;26;230.50;64;-72.0000;72
ACO;32;284.23;64;-72.0000;72
ACO;38;334.72;64;-71.0000;71
ACO;44;385.27;64;-71.0000;71
ACO;49;428.06;64;-68.0000;68
ACO;55;481.38;64;-68.0000;68
ACO;61;533.23;64;-68.0000;68
ACO;64;603.49;64;-68.0000;68
ACO;70;656.01;64;-68.0000;68
ACO;76;709.83;64;-68.0000;68
ACO;82;763.12;64;-68.0000;68
ACO;88;816.78;64;-68.0000;68
ACO;94;869.91;64;-68.0000;68
ACO;100;922.57;64;-68.0000;68
ACO;106;974.86;64;-68.0000;68
ACO;1;10.41;87;-116.0000;116
ACO;2;20.69;87;-106.0000;106
ACO;4;40.39;87;-105.0000;105
ACO;5;49.99;87;-101.0000;101
ACO;7;68.22;87;-99.0000;99
ACO;12;113.30;87;-95.0000;95
ACO;13;122.52;87;-94.0000;94
ACO;19;177.04;87;-94.0000;94
ACO;20;186.35;87;-93.0000;93
ACO;26;239.39;87;-93.0000;93
ACO;29;265.93;87;-92.0000;92
ACO;30;319.05;87;-92.0000;92
ACO;33;347.22;87;-91.0000;91
ACO;39;402.96;87;-91.0000;91
ACO;45;461.45;87;-91.0000;91
ACO;51;518.54;87;-91.0000;91
ACO;57;570.84;87;-91.0000;91
ACO;63;622.05;87;-91.0000;91
ACO;68;673.17;87;-91.0000;91
ACO;74;728.50;87;-91.0000;91
ACO;80;781.94;87;-91.0000;91
ACO;86;835.30;87;-91.0000;91
ACO;92;887.21;87;-91.0000;91
ACO;98;940.25;87;-91.0000;91
ACO;103;993.46;87;-91.0000;91
ACO;1;9.69;68;-88.0000;88
ACO;5;45.34;68;-87.0000;87
ACO;9;80.48;68;-79.0000;79
ACO;15;133.28;68;-79.0000;79
ACO;21;185.92;68;-79.0000;79
ACO;27;238.78;68;-79.0000;79
ACO;33;293.59;68;-79.0000;79
ACO;38;370.35;68;-79.0000;79
ACO;40;420.74;68;-79.0000;79
ACO;43;492.83;68;-79.0000;79
ACO;45;543.07;68;-77.0000;77
ACO;48;616.07;68;-77.0000;77
ACO;50;666.28;68;-77.0000;77
ACO;52;716.95;68;-77.0000;77
ACO;54;796.80;68;-77.0000;77
ACO;60;849.62;68;-77.0000;77
ACO;66;902.86;68;-77.0000;77
ACO;72;956.05;68;-77.0000;77
ACO;23;195.47;75;-94.0000;94
